년,월,일,날짜,가격,동,층
10,01,20,10.01.20,390000000,103,3
10,01,18,10.01.18,46000000,103,4
10,01,16,10.01.16,385000000,101,4
09,12,22,09.12.22,419000000,103,16
09,12,15,09.12.15,40000,106,12
09,11,03,09.11.03,395000000,101,15
09,10,21,09.10.21,420000000,103,15
09,10,20,09.10.20,45000000,101,8
09,10,10,09.10.10,368000000,101,3
09,10,06,09.10.06,425000000,103,17
09,09,26,09.09.26,47000000,101,7
09,09,25,09.09.25,40000,101,10
09,09,24,09.09.24,420000000,103,12
09,09,15,09.09.15,410000000,106,16
09,08,13,09.08.13,380000000,101,4
09,08,12,09.08.12,348000000,101,3
09,08,10,09.08.10,40000,101,13
09,08,04,09.08.04,44000000,101,15
09,08,01,09.08.01,40000,103,7
09,07,24,09.07.24,380000000,101,8
09,07,07,09.07.07,380000000,101,7
09,07,04,09.07.04,370000000,101,4
09,07,01,09.07.01,390000000,101,10
09,06,29,09.06.29,48000000,103,6
09,06,26,09.06.26,360000000,101,12
09,06,23,09.06.23,382000000,101,6
09,06,22,09.06.22,40000,103,10
09,06,20,09.06.20,360000000,106,15
09,06,18,09.06.18,375000000,106,8
09,06,17,09.06.17,40000,103,19
09,06,15,09.06.15,375000000,101,12
09,06,09,09.06.09,380000000,101,13
09,06,03,09.06.03,387000000,101,8
09,06,03,09.06.03,335000000,101,3
09,06,02,09.06.02,370000000,101,11
09,05,24,09.05.24,358000000,103,3
09,05,23,09.05.23,384000000,103,10
09,05,20,09.05.20,378000000,101,13
09,05,12,09.05.12,358000000,101,8
09,05,08,09.05.08,398000000,103,16
09,05,01,09.05.01,348000000,101,4
09,04,27,09.04.27,360000000,101,18
09,04,25,09.04.25,375000000,101,11
09,04,20,09.04.20,370000000,103,8
09,04,19,09.04.19,380000000,106,6
09,04,16,09.04.16,335000000,101,3
09,04,11,09.04.11,338000000,101,4
09,04,10,09.04.10,355000000,106,9
09,04,09,09.04.09,283000000,101,1
09,04,04,09.04.04,360000000,101,13
09,03,19,09.03.19,380000000,103,20
09,03,02,09.03.02,370000000,106,9
09,03,01,09.03.01,340000000,106,5
09,02,27,09.02.27,314000000,103,1
09,02,26,09.02.26,350000000,101,14
09,02,25,09.02.25,345000000,101,8
09,02,24,09.02.24,340000000,106,14
09,02,23,09.02.23,332000000,101,10
09,02,14,09.02.14,349000000,106,19
09,02,04,09.02.04,350000000,103,15
09,01,22,09.01.22,350000000,101,15
09,01,17,09.01.17,350000000,103,12
08,10,04,08.10.04,347000000,101,15
08,08,27,08.08.27,385000000,106,4
08,08,09,08.08.09,41000000,103,18
08,08,06,08.08.06,390000000,106,8
08,07,17,08.07.17,40000,103,14
08,07,15,08.07.15,368000000,106,7
08,07,03,08.07.03,375000000,106,16
08,07,01,08.07.01,40000,103,13
08,06,19,08.06.19,390000000,101,13
08,06,19,08.06.19,320000000,106,1
08,05,29,08.05.29,380000000,106,4
08,05,26,08.05.26,30000,101,4
08,05,22,08.05.22,375000000,106,3
08,05,21,08.05.21,384000000,101,6
08,05,12,08.05.12,390000000,103,9
08,05,03,08.05.03,395000000,106,7
08,04,21,08.04.21,377000000,101,11
08,04,19,08.04.19,365000000,101,2
08,04,19,08.04.19,359000000,101,5
08,04,11,08.04.11,410000000,103,19
08,04,05,08.04.05,381000000,101,11
08,03,28,08.03.28,395000000,103,5
08,03,14,08.03.14,365000000,101,7
08,03,06,08.03.06,40000,103,18
08,03,06,08.03.06,397500000,101,7
08,02,28,08.02.28,326500000,101,2
08,02,25,08.02.25,397000000,106,17
08,02,25,08.02.25,370000000,101,5
08,02,20,08.02.20,395000000,103,4
08,01,30,08.01.30,380000000,101,13
08,01,26,08.01.26,392500000,101,16
08,01,16,08.01.16,360000000,101,14
08,01,12,08.01.12,385000000,101,9
08,01,05,08.01.05,367000000,101,3
07,12,12,07.12.12,35000000,103,1
07,12,11,07.12.11,380000000,103,11
07,12,08,07.12.08,358000000,101,10
07,11,24,07.11.24,340000000,101,2
07,11,16,07.11.16,388000000,103,12
07,09,30,07.09.30,372000000,106,15
07,09,21,07.09.21,380000000,101,10
07,09,17,07.09.17,349000000,103,2
07,09,14,07.09.14,395000000,103,9
07,09,11,07.09.11,371500000,101,16
07,08,31,07.08.31,360000000,103,3
07,08,11,07.08.11,388800000,103,13
07,07,17,07.07.17,40000,103,13
07,07,10,07.07.10,40000,103,15
07,06,27,07.06.27,360000000,101,12
07,06,24,07.06.24,385000000,101,13
07,06,23,07.06.23,374000000,101,16
07,06,19,07.06.19,387000000,101,15
07,05,15,07.05.15,350000000,101,13
07,05,14,07.05.14,350000000,101,13
07,04,07,07.04.07,385000000,101,11
07,03,01,07.03.01,395000000,103,17
07,02,02,07.02.02,390000000,101,10
07,01,25,07.01.25,395000000,103,8
06,12,19,06.12.19,370000000,101,7
06,12,15,06.12.15,360000000,103,5
06,12,02,06.12.02,350000000,106,15
06,11,25,06.11.25,370000000,103,6
06,11,24,06.11.24,360000000,101,11
06,11,09,06.11.09,345000000,103,14
06,11,08,06.11.08,350000000,106,18
06,11,08,06.11.08,312500000,101,5
06,11,02,06.11.02,315000000,101,7
06,11,02,06.11.02,330000000,101,12
06,11,02,06.11.02,350000000,103,6
06,11,01,06.11.01,310000000,101,8
06,10,31,06.10.31,310000000,101,12
06,10,30,06.10.30,330000000,103,20
06,10,29,06.10.29,290000000,103,15
06,10,29,06.10.29,310000000,103,20
06,10,28,06.10.28,316000000,101,12
06,10,28,06.10.28,35000000,,8
06,10,28,06.10.28,34000000,101,9
06,10,28,06.10.28,37000000,101,6
06,10,28,06.10.28,35000000,,8
06,10,27,06.10.27,314000000,101,9
06,10,26,06.10.26,270000000,101,2
06,10,26,06.10.26,280000000,106,6
06,10,25,06.10.25,310000000,106,18
06,10,21,06.10.21,330000000,103,16
06,10,21,06.10.21,39500000,103,16
06,10,21,06.10.21,315000000,101,14
06,10,19,06.10.19,298000000,103,17
06,10,12,06.10.12,257000000,106,2
06,10,10,06.10.10,295000000,103,20
06,10,10,06.10.10,294000000,101,7
06,10,10,06.10.10,293000000,106,6
06,10,03,06.10.03,30000,101,5
06,09,30,06.09.30,265000000,101,10
06,09,23,06.09.23,250000000,106,1
06,09,21,06.09.21,30000,101,5
06,09,19,06.09.19,30000,101,16
06,09,16,06.09.16,315000000,103,12
06,08,29,06.08.29,30000,101,9
06,08,24,06.08.24,398000000,103,16
06,08,23,06.08.23,284700000,101,7
06,08,18,06.08.18,312000000,103,19
06,08,16,06.08.16,310000000,103,13
06,07,10,06.07.10,265000000,101,3
06,07,06,06.07.06,35000000,103,14
06,06,26,06.06.26,280000000,101,13
06,06,20,06.06.20,270000000,106,12
06,06,14,06.06.14,330000000,103,11
06,06,07,06.06.07,290000000,101,10
06,06,07,06.06.07,240000000,106,1
06,05,28,06.05.28,238000000,101,1
06,05,19,06.05.19,290000000,101,13
06,05,12,06.05.12,284000000,101,13
06,05,09,06.05.09,287500000,106,19
06,05,03,06.05.03,30000,103,12
06,05,02,06.05.02,280000000,101,9
06,04,24,06.04.24,270000000,101,4
06,04,22,06.04.22,290000000,101,14
06,04,20,06.04.20,35000000,103,10
06,04,03,06.04.03,285000000,101,11
06,04,03,06.04.03,272000000,101,18
06,03,29,06.03.29,290000000,103,19
06,02,28,06.02.28,317000000,103,19
06,02,25,06.02.25,290000000,101,8
06,01,14,06.01.14,274000000,106,15
06,01,09,06.01.09,289000000,103,3
